name                ;  RA_ICRS ;   DE_ICRS;    dist;  e_dist;     age;   e_age;     FeH;   e_FeH;      Av;    e_Av;      Nc; 
Melotte_22          ;   56.8112;   24.1892;     135;       0;   8.005;   0.016;  -0.017;   0.010;   0.349;   0.036;    2552;  
Mamajek_1           ;  130.9234;  -79.0036;      97;       0;   7.448;   0.137;   0.377;   0.201;   1.141;   0.361;      38; 
UBC_647             ;  116.6378;  -48.2369;    1386;      19;   8.976;   0.091;  -0.085;   0.124;   0.479;   0.211;      44; 
Kronberger_25       ;  275.6674;  -14.7233;    2375;     577;   6.907;   0.445;   0.210;   0.153;   3.996;   0.103;      40; 
ESO_123_26          ;  118.1265;  -60.3390;     917;       8;   8.675;   0.103;  -0.016;   0.038;   0.510;   0.048;      52; 
UFMG_59             ;  126.5016;  -38.3427;    1280;      22;   7.899;   0.200;  -0.001;   0.102;   1.207;   0.164;      68; 
Moffat_1            ;  240.4176;  -54.1451;    2283;     175;   6.856;   0.092;   0.089;   0.137;   2.649;   0.054;      70; 
UPK_152             ;  319.3688;   56.1415;     731;       8;   8.371;   0.355;   0.056;   0.110;   2.206;   0.056;      71; 
COIN-Gaia_32        ;   28.2086;   63.0391;    1209;      18;   8.211;   0.181;  -0.121;   0.104;   1.674;   0.080;      77; 
UPK_119             ;  308.6567;   43.3940;     767;       3;   8.832;   0.209;  -0.004;   0.068;   1.403;   0.134;      82; 
ESO_392_13          ;  261.7333;  -34.6986;    1034;      12;   8.473;   0.173;   0.125;   0.052;   2.110;   0.067;      86; 
Hogg_18             ;  222.6897;  -52.2846;    1710;      44;   7.819;   0.221;   0.155;   0.101;   1.686;   0.063;      86; 
Teutsch_8           ;  300.5979;   35.3105;    1823;      35;   6.663;   0.052;   0.106;   0.068;   1.872;   0.041;      88; 
FSR_1113            ;  107.2956;   -1.5022;    4221;     303;   9.400;   0.140;  -0.130;   0.067;   0.353;   0.061;      91; 
UBC_387             ;  326.0693;   58.7750;    1526;      26;   8.569;   0.129;   0.056;   0.079;   1.746;   0.069;      93; 
UBC_451             ;  100.7118;  -23.6898;    1707;      61;   8.472;   0.057;  -0.100;   0.071;   0.221;   0.043;      98; 
UBC_463             ;  116.5459;  -26.2106;    1898;       0;   8.000;   0.000;  -0.079;   0.000;   0.010;   0.000;      98; 
UBC_572             ;  280.4311;  -21.9849;    1390;      32;   9.237;   0.049;  -0.057;   0.088;   1.544;   0.144;      95; 
